,,log_2 n,,,,,,,,,,
,,7,8,9,10,11,12,13,14,15,16,17
Dimension,0,1.113481629,1.181183082,1.188261821,1.19037514,1.197064159,1.200178096,1.201444499,1.200973649,1.201308062,1.203683069,1.201916201
,2,7.716045745,10.79749083,14.8518168,21.0932111,29.6568499,41.82799898,58.87823514,83.0736143,117.5518263,166.1208485,234.5813895
,3,17.83277938,27.59744251,43.05682486,67.79473403,107.2951336,169.3484364,266.873218,422.1945107,668.6052574,1058.730723,1677.107317
,4,28.51842449,46.91883672,78.28212098,130.5670104,216.3980491,360.6531863,603.3509482,1009.778941,1686.334342,2827.767416,4740.367014
