Size,Threshold,Time,,,,,
75,75,0.000232,,,,,
150,76,0.001358,,,,,
225,116,0.004004,,,,,
300,159,0.007946,,,,,
375,95,0.015986,,,,,
450,116,0.025602,,,,,
525,66,0.036516,,,,,
600,76,0.049333,,,,,
675,88,0.072226,,,,,
700,88,0.13542,,,,,
775,97,0.179145,,,,,
850,54,0.22654,,,,,
925,116,0.270923,,,,,
1000,125,0.369936,,,,,
1024,64,0.393171,,,,,
