Dim 0,Dim 2,Dim 3,Dim 4
1.113,7.716,17.833,28.518
1.181,10.797,27.597,46.919
1.188,14.852,43.057,78.282
1.190,21.093,67.795,130.567
1.197,29.657,107.295,216.398
1.200,41.828,169.348,360.653
1.201,58.878,266.873,603.351
1.201,83.074,422.195,1009.779
1.201,117.552,668.605,1686.334
1.204,166.121,1058.731,2827.767
1.202,234.581,1677.107,4740.367
